models=FreeWay	maxpausetime=2	minspeed=22	fixedacceleration=false	maps=FreeWay	dir1lanespace=50	height=1000	lanenum=1	width=1000	dir2lanespace=10	pointsX=50.0,995.0,	dir12space=20	pointsY=50.0,74.0,	maxacceleration=10	maxspeed=33	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=oo	numberiterate=false	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=60	maxsimulationtime=90
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	621	64	4.5	0.03
1	1	906	71	4.27	0.03
1	2	684	66	0.94	0.03
1	3	786	68	2.94	0.03
1	4	590	63	3.93	0.03
1	5	957	73	1.89	0.03
1	6	115	31	0	3.17
1	7	227	54	7.26	0.03
1	8	645	65	9.17	0.03
1	9	573	63	0.13	0.03
1	10	494	61	0	0.03
1	11	972	53	0	3.17
1	12	324	56	0	0.03
1	13	131	32	2.71	3.17
1	14	334	57	0	0.03
1	15	524	62	5.48	0.03
1	16	195	53	0	0.03
1	17	480	60	0	0.03
1	18	790	48	1.87	3.17
1	19	462	40	0	3.17
1	20	663	65	7.2	0.03
1	21	81	50	0.28	0.03
1	22	578	43	0	3.17
1	23	840	70	3.66	0.03
1	24	398	38	0	3.17
1	25	828	49	5.13	3.17
1	26	90	31	0.8	3.17
1	27	388	58	0	0.03
1	28	741	67	0	0.03
1	29	396	38	0	3.17
1	30	868	70	5.36	0.03
1	31	291	56	0	0.03
1	32	697	46	0	3.17
1	33	523	42	0	3.17
1	34	680	46	0.66	3.17
1	35	896	51	0	3.17
1	36	293	36	2.2	3.17
1	37	484	61	0	0.03
1	38	463	40	0	3.17
1	39	855	50	0.12	3.17
1	40	265	35	9.34	3.17
1	41	102	31	0	3.17
1	42	422	39	2.41	3.17
1	43	658	45	2.28	3.17
1	44	77	30	8.58	3.17
1	45	112	51	9.82	0.03
1	46	644	45	0	3.17
1	47	418	59	0	0.03
1	48	985	53	0	3.17
1	49	836	49	0	3.17
1	50	78	50	0.28	0.03
1	51	511	41	0	3.17
1	52	856	70	5.39	0.03
1	53	406	59	1.25	0.03
1	54	284	35	8.67	3.17
1	55	376	58	4.44	0.03
1	56	694	46	0.66	3.17
1	57	750	67	0	0.03
1	58	214	54	4.24	0.03
1	59	653	45	0	3.17
2	0	626	64	4.47	0.03
2	1	906	71	0	0.03
2	2	689	66	5.4	0.03
2	3	796	68	9.56	0.03
2	4	595	63	4.55	0.03
2	5	958	73	1.34	0.03
2	6	113	31	1.17	3.17
2	7	242	54	14.86	0.03
2	8	645	65	0.56	0.03
2	9	580	63	6.42	0.03
2	10	502	61	7.87	0.03
2	11	964	53	7.93	3.17
2	12	324	56	0	0.03
2	13	129	32	1.17	3.17
2	14	334	57	0	0.03
2	15	534	62	9.21	0.03
2	16	199	53	3.96	0.03
2	17	480	60	0	0.03
2	18	782	48	8.18	3.17
2	19	458	40	4.53	3.17
2	20	664	65	0.56	0.03
2	21	83	50	1.84	0.03
2	22	570	43	8.57	3.17
2	23	850	70	9.64	0.03
2	24	397	38	1.29	3.17
2	25	817	49	10.45	3.17
2	26	88	30	2.11	3.17
2	27	395	58	7.12	0.03
2	28	743	67	1.82	0.03
2	29	386	38	9.82	3.17
2	30	883	71	14.98	0.03
2	31	292	56	0.88	0.03
2	32	696	46	0.77	3.17
2	33	523	42	0	3.17
2	34	680	46	0.17	3.17
2	35	887	51	8.86	3.17
2	36	293	36	0	3.17
2	37	485	61	0.25	0.03
2	38	459	40	4.53	3.17
2	39	851	50	4.21	3.17
2	40	263	35	1.6	3.17
2	41	101	31	1.17	3.17
2	42	420	39	1.55	3.17
2	43	655	45	2.29	3.17
2	44	62	30	14.84	3.17
2	45	126	51	13.5	0.03
2	46	640	44	4.08	3.17
2	47	428	59	9.51	0.03
2	48	985	53	0.2	3.17
2	49	836	49	0	3.17
2	50	80	50	1.84	0.03
2	51	511	41	0	3.17
2	52	863	70	7.07	0.03
2	53	412	59	6.04	0.03
2	54	283	35	1.6	3.17
2	55	381	58	4.92	0.03
2	56	690	46	4.23	3.17
2	57	754	67	4.06	0.03
2	58	218	54	3.4	0.03
2	59	651	45	2.29	3.17
3	0	626	64	0	0.03
3	1	911	71	5.05	0.03
3	2	691	66	1.77	0.03
3	3	797	68	1.42	0.03
3	4	595	63	0	0.03
3	5	958	73	0	0.03
3	6	110	31	3.4	3.17
3	7	262	55	20.05	0.03
3	8	651	65	5.68	0.03
3	9	585	63	4.94	0.03
3	10	518	61	15.31	0.03
3	11	958	53	6.21	3.17
3	12	324	56	0	0.03
3	13	129	32	0	3.17
3	14	334	57	0	0.03
3	15	550	62	16.73	0.03
3	16	209	54	9.66	0.03
3	17	484	61	4.17	0.03
3	18	766	48	16.04	3.17
3	19	447	40	10.59	3.17
3	20	664	65	0	0.03
3	21	83	50	0	0.03
3	22	556	42	13.74	3.17
3	23	857	70	6.98	0.03
3	24	386	38	11.29	3.17
3	25	805	49	12.3	3.17
3	26	84	30	3.78	3.17
3	27	401	58	6.09	0.03
3	28	745	67	2.22	0.03
3	29	369	38	16.82	3.17
3	30	891	71	7.66	0.03
3	31	292	56	0	0.03
3	32	696	46	0	3.17
3	33	521	41	2.19	3.17
3	34	677	45	2.72	3.17
3	35	870	50	17.01	3.17
3	36	293	36	0	3.17
3	37	489	61	4.17	0.03
3	38	454	40	5.02	3.17
3	39	847	50	4.43	3.17
3	40	263	35	0	3.17
3	41	101	31	0	3.17
3	42	420	39	0	3.17
3	43	655	45	0	3.17
3	44	50	30	19.49	3.17
3	45	134	52	8.01	0.03
3	46	638	44	2.24	3.17
3	47	446	60	18.08	0.03
3	48	975	53	9.53	3.17
3	49	831	49	4.43	3.17
3	50	80	50	0	0.03
3	51	509	41	2.19	3.17
3	52	870	70	6.98	0.03
3	53	418	59	5.33	0.03
3	54	283	35	0	3.17
3	55	384	58	3.44	0.03
3	56	687	46	2.72	3.17
3	57	754	67	0	0.03
3	58	224	54	5.91	0.03
3	59	648	45	2.24	3.17
4	0	634	64	8.48	0.03
4	1	911	71	0	0.03
