models=FreeWay	maxpausetime=10	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=500	lanenum=2	width=500	dir2lanespace=50	pointsX=50.0,50.0,343.0,472.0,	dir12space=0	pointsY=50.0,340.0,340.0,445.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=2	maxsimulationtime=100
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	207	340	0.41	3.14
1	1	337	340	0.93	3.14
2	0	206	340	1.28	3.14
2	1	335	340	2.55	3.14
3	0	205	340	0.4	3.14
3	1	334	340	0.76	3.14
4	0	205	340	0.77	3.14
4	1	334	340	0	3.14
5	0	202	340	2.7	3.14
5	1	333	340	1.14	3.14
6	0	198	340	4.16	3.14
6	1	330	340	2.87	3.14
7	0	195	340	3.06	3.14
7	1	328	340	2.57	3.14
8	0	191	340	3.44	3.14
8	1	323	340	4.42	3.14
9	0	186	340	5.14	3.14
9	1	318	340	5.51	3.14
10	0	180	340	6.43	3.14
10	1	314	340	3.96	3.14
11	0	173	340	7.23	3.14
11	1	310	340	3.77	3.14
12	0	166	340	6.16	3.14
12	1	305	340	4.52	3.14
13	0	159	340	7.51	3.14
13	1	300	340	5.66	3.14
14	0	150	340	8.99	3.14
14	1	295	340	4.53	3.14
15	0	140	340	10	3.14
15	1	291	340	3.86	3.14
16	0	131	340	8.96	3.14
16	1	286	340	4.79	3.14
17	0	121	340	9.47	3.14
17	1	282	340	4.05	3.14
18	0	111	340	10	3.14
18	1	276	340	6.05	3.14
19	0	101	340	10	3.14
19	1	269	340	7.85	3.14
20	0	91	340	10	3.14
20	1	259	340	9.79	3.14
21	0	81	340	10	3.14
21	1	249	340	10	3.14
22	0	71	340	10	3.14
22	1	240	340	9.16	3.14
23	0	61	340	10	3.14
23	1	230	340	9.81	3.14
24	0	51	340	10	3.14
24	1	220	340	10	3.14
25	0	50	340	10	3.14
25	1	210	340	10	3.14
26	0	50	331	8.46	-1.57
26	1	201	340	8.62	3.14
27	0	50	323	7.99	-1.57
27	1	194	340	7.3	3.14
28	0	50	316	6.93	-1.57
28	1	186	340	7.43	3.14
29	0	50	309	6.95	-1.57
29	1	179	340	7.46	3.14
30	0	50	302	7.04	-1.57
30	1	171	340	7.71	3.14
31	0	50	295	7.27	-1.57
31	1	163	340	8.74	3.14
32	0	50	288	6.45	-1.57
32	1	153	340	10	3.14
33	0	50	282	6.85	-1.57
33	1	143	340	10	3.14
34	0	50	273	8.81	-1.57
34	1	133	340	10	3.14
35	0	50	263	10	-1.57
35	1	123	340	10	3.14
36	0	50	253	10	-1.57
36	1	113	340	10	3.14
37	0	50	243	10	-1.57
37	1	103	340	10	3.14
38	0	50	233	10	-1.57
38	1	93	340	10	3.14
39	0	50	223	10	-1.57
39	1	83	340	10	3.14
40	0	50	213	10	-1.57
40	1	73	340	10	3.14
41	0	50	203	9.91	-1.57
41	1	64	340	8.86	3.14
42	0	50	194	8.46	-1.57
42	1	56	340	7.79	3.14
43	0	50	187	7.34	-1.57
43	1	50	340	8.84	3.14
44	0	50	181	6.11	-1.57
44	1	50	330	9.22	-1.57
45	0	50	174	7.09	-1.57
45	1	50	320	10	-1.57
46	0	50	168	5.45	-1.57
46	1	50	310	10	-1.57
47	0	50	164	3.89	-1.57
47	1	50	300	10	-1.57
48	0	50	159	5.55	-1.57
48	1	50	290	10	-1.57
49	0	50	153	6.2	-1.57
49	1	50	280	10	-1.57
50	0	50	146	6.98	-1.57
50	1	50	270	10	-1.57
51	0	50	139	6.62	-1.57
51	1	50	260	10	-1.57
52	0	50	131	7.79	-1.57
52	1	50	250	10	-1.57
53	0	50	122	9.77	-1.57
53	1	50	240	10	-1.57
54	0	50	112	10	-1.57
54	1	50	230	10	-1.57
55	0	50	102	10	-1.57
55	1	50	220	10	-1.57
56	0	50	92	10	-1.57
56	1	50	210	10	-1.57
57	0	50	82	10	-1.57
57	1	50	200	10	-1.57
58	0	50	73	8.99	-1.57
58	1	50	190	10	-1.57
59	0	50	63	9.61	-1.57
59	1	50	180	10	-1.57
60	0	50	53	9.78	-1.57
60	1	50	170	10	-1.57
61	0	50	50	10	-1.57
61	1	50	160	10	-1.57
62	0	50	50	10	0
62	1	50	150	10	-1.57
63	0	50	50	9.71	1.57
63	1	50	140	10	-1.57
64	0	50	60	10	1.57
64	1	50	131	9.02	-1.57
65	0	50	69	9.06	1.57
