models=Exponential Correlated	minspeed=5	maps=squarereflect	borderheight=50	borderwidth=50	height=500	width=500	randomamplitude=2.0	memoryfactor=5.0	maxspeed=10	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	372	64	6.66	1.91
1	1	137	359	6.38	4.46
1	2	288	228	8.93	4.13
1	3	105	52	9.14	2.02
1	4	93	268	7.93	2.11
1	5	60	222	5.53	2.34
1	6	293	99	8.28	2.45
1	7	390	372	9.86	2.99
1	8	179	382	6.33	3.85
1	9	63	206	5.51	3.47
2	0	373	67	6.66	1.33
2	1	138	361	6.38	1.18
2	2	282	225	8.93	3.6
2	3	109	58	9.14	1.04
2	4	94	276	7.93	1.46
2	5	60	225	5.53	1.36
2	6	296	105	8.28	1.04
2	7	385	370	9.86	3.36
2	8	175	383	6.33	2.74
2	9	65	209	5.51	0.87
3	0	372	71	6.66	1.65
3	1	139	363	6.38	1
3	2	277	221	8.93	3.79
3	3	106	58	9.14	3.08
3	4	87	280	7.93	2.58
3	5	59	228	5.53	2.14
3	6	300	103	8.28	5.68
3	7	383	375	9.86	1.92
3	8	172	386	6.33	2.49
3	9	65	206	5.51	4.74
4	0	375	72	6.66	0.41
4	1	139	365	6.38	1.81
4	2	278	217	8.93	4.8
4	3	105	58	9.14	3.2
4	4	81	273	7.93	3.97
4	5	58	231	5.53	1.67
4	6	301	101	8.28	5.24
4	7	383	379	9.86	1.69
4	8	174	387	6.33	0.4
4	9	69	204	5.51	5.75
5	0	379	72	6.66	0.04
5	1	139	365	6.38	0.88
5	2	273	218	8.93	2.96
5	3	105	58	9.14	2.9
5	4	78	280	7.93	1.92
5	5	59	233	5.53	1.31
5	6	301	101	8.28	5.82
5	7	379	376	9.86	3.83
5	8	173	386	6.33	4.28
5	9	72	207	5.51	0.68
6	0	382	71	6.66	5.81
6	1	141	366	6.38	0.09
6	2	270	223	8.93	2.12
6	3	105	58	9.14	4.4
6	4	82	283	7.93	0.83
6	5	59	233	5.53	0.66
6	6	302	101	8.28	0.13
6	7	382	373	9.86	5.46
6	8	174	386	6.33	5.16
6	9	74	205	5.51	5.53
7	0	382	72	6.66	1.36
7	1	142	368	6.38	1.07
7	2	270	227	8.93	1.48
7	3	104	58	9.14	3.18
7	4	84	287	7.93	1.12
7	5	62	232	5.53	5.82
7	6	303	102	8.28	0.61
7	7	384	373	9.86	0.03
7	8	174	385	6.33	5.06
7	9	75	202	5.51	5.09
8	0	383	74	6.66	0.62
8	1	145	368	6.38	0.02
8	2	271	230	8.93	1.21
8	3	104	58	9.14	1.4
8	4	85	290	7.93	1.06
8	5	65	232	5.53	0.07
8	6	303	102	8.28	1.12
8	7	381	374	9.86	2.92
8	8	174	386	6.33	1.79
8	9	77	202	5.51	6.25
9	0	385	73	6.66	6.05
9	1	145	368	6.38	1.33
9	2	269	230	8.93	3.11
9	3	104	58	9.14	3.35
9	4	86	289	7.93	5.37
9	5	65	232	5.53	5.64
9	6	303	102	8.28	4.73
9	7	380	374	9.86	2.73
9	8	173	385	6.33	4.25
9	9	78	201	5.51	5.36
10	0	386	74	6.66	0.7
10	1	144	369	6.38	2.21
10	2	266	229	8.93	3.28
10	3	103	58	9.14	3.45
10	4	86	287	7.93	4.55
10	5	65	231	5.53	4.3
10	6	303	101	8.28	3.8
10	7	380	374	9.86	5.98
10	8	174	385	6.33	0.16
10	9	78	201	5.51	0.38
11	0	386	74	6.66	0.49
11	1	144	371	6.38	1.36
11	2	264	231	8.93	2.51
11	3	102	57	9.14	3.48
11	4	88	286	7.93	5.93
11	5	65	231	5.53	5.17
11	6	304	102	8.28	0.49
11	7	380	374	9.86	4.83
11	8	175	385	6.33	6.21
11	9	78	201	5.51	4.12
12	0	386	74	6.66	0.92
12	1	147	369	6.38	5.55
12	2	264	231	8.93	2.79
12	3	102	58	9.14	2.88
12	4	88	287	7.93	0.99
12	5	64	230	5.53	3.77
12	6	305	102	8.28	0.14
12	7	380	374	9.86	3.62
12	8	176	385	6.33	0.49
12	9	78	202	5.51	1.7
13	0	387	73	6.66	5.01
13	1	146	368	6.38	4.57
13	2	264	231	8.93	2.35
13	3	102	58	9.14	1.92
13	4	89	288	7.93	0.94
13	5	64	230	5.53	4.58
13	6	304	101	8.28	3.63
13	7	380	374	9.86	3.19
13	8	176	383	6.33	4.54
13	9	76	203	5.51	2.47
14	0	387	72	6.66	4.74
14	1	146	367	6.38	3.24
14	2	264	231	8.93	5.35
14	3	103	58	9.14	0.41
14	4	89	288	7.93	4.49
14	5	64	229	5.53	4.25
14	6	304	101	8.28	2.91
14	7	380	374	9.86	5.95
14	8	175	384	6.33	2.82
14	9	74	203	5.51	3.1
