models=Manhattan	maxpausetime=2	minspeed=22	fixedacceleration=false	maps=Manhattan	height=500	hlines=160,	width=500	dir12lanespace=50	vlines=5,	maxacceleration=10	maxspeed=33	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	55	381	8.72	1.57
1	1	5	268	0	-1.57
1	2	55	342	0	1.57
1	3	5	160	4.39	0
1	4	55	233	0	1.57
1	5	364	160	0	0
1	6	3	160	3.57	0
1	7	5	396	0	-1.57
1	8	5	127	0.07	-1.57
1	9	3	160	3.57	0
2	0	55	390	9.06	1.57
2	1	5	268	0	-1.57
2	2	55	342	0	1.57
2	3	5	160	0	-1.57
2	4	55	236	3.1	1.57
2	5	372	160	7.66	0
2	6	3	160	0	0
2	7	5	387	9	-1.57
2	8	5	120	7.59	-1.57
2	9	3	160	0	0
3	0	55	406	16.48	1.57
3	1	5	263	4.39	-1.57
3	2	55	342	0	1.57
3	3	5	155	4.76	-1.57
3	4	55	240	4.33	1.57
3	5	389	160	17.45	0
3	6	3	160	0.11	0
3	7	5	383	3.92	-1.57
3	8	4	112	8.05	-1.57
3	9	3	160	0	0
4	0	55	421	14.96	1.57
4	1	5	257	6.41	-1.57
4	2	55	350	7.99	1.57
4	3	5	148	6.76	-1.57
4	4	55	240	0	1.57
4	5	408	160	18.66	0
4	6	5	160	4.08	0
4	7	5	377	5.99	-1.57
4	8	4	97	15.01	-1.57
4	9	5	160	4.08	0
5	0	55	433	12.16	1.57
5	1	5	257	0	-1.57
5	2	55	364	14.51	1.57
5	3	5	144	3.69	-1.57
5	4	55	240	0.07	1.57
5	5	427	160	19.2	0
5	6	5	160	0	0
5	7	5	370	6.25	-1.57
5	8	4	72	24.64	-1.57
5	9	55	160	0	1.57
6	0	55	448	15.3	1.57
6	1	5	254	3.22	-1.57
6	2	55	382	17.47	1.57
6	3	5	139	5.31	-1.57
6	4	55	240	0.29	1.57
6	5	439	160	11.35	0
6	6	55	160	0	1.57
6	7	5	370	0	-1.57
6	8	4	52	20.36	-1.57
6	9	55	168	8.23	1.57
7	0	55	468	19.6	1.57
7	1	5	248	5.7	-1.57
7	2	55	404	22.01	1.57
7	3	5	129	9.86	-1.57
7	4	55	246	5.75	1.57
7	5	455	160	16.65	0
7	6	55	167	7.94	1.57
7	7	5	368	2.35	-1.57
7	8	4	32	19.72	-1.57
7	9	55	185	16.82	1.57
8	0	55	479	10.73	1.57
8	1	5	238	9.56	-1.57
8	2	55	433	29.34	1.57
8	3	5	125	4.11	-1.57
8	4	55	246	0.02	1.57
8	5	469	160	13.61	0
8	6	55	169	1.54	1.57
8	7	5	356	11.76	-1.57
8	8	4	8	23.58	-1.57
8	9	55	197	12.36	1.57
9	0	55	497	17.92	1.57
9	1	4	224	14.17	-1.57
9	2	55	451	17.92	1.57
9	3	5	125	0	-1.57
9	4	55	251	5.18	1.57
9	5	490	160	21.37	0
9	6	55	171	1.77	1.57
9	7	4	341	15.33	-1.57
9	8	5	0	15.14	-1.57
9	9	55	218	20.69	1.57
10	0	55	500	27.17	1.57
10	1	4	215	9.67	-1.57
10	2	55	471	20.11	1.57
10	3	5	122	2.82	-1.57
10	4	55	264	12.74	1.57
10	5	500	160	23.72	0
10	6	55	174	3.62	1.57
10	7	4	328	12.6	-1.57
10	8	5	0	0	-1.57
10	9	55	230	12.74	1.57
11	0	5	500	0	-1.57
11	1	5	210	10.72	-1.57
11	2	55	499	27.75	1.57
11	3	5	122	0	-1.57
11	4	55	285	20.61	1.57
11	5	500	160	0	0
11	6	55	174	0	1.57
11	7	4	306	22.04	-1.57
11	8	55	0	0	1.57
11	9	55	234	4.03	1.57
12	0	5	492	7.23	-1.57
12	1	5	210	0	-1.57
12	2	55	500	18.26	1.57
12	3	5	122	0	-1.57
12	4	55	315	30.04	1.57
12	5	500	210	0	3.14
12	6	55	174	0	1.57
12	7	4	286	20.28	-1.57
12	8	55	5	5.12	1.57
12	9	55	234	0	1.57
13	0	5	491	1.31	-1.57
13	1	5	207	2.87	-1.57
13	2	5	500	0	-1.57
13	3	5	121	0.84	-1.57
13	4	55	348	33	1.57
13	5	499	210	0.77	3.14
13	6	55	176	2.05	1.57
13	7	4	263	22.64	-1.57
13	8	55	16	11.06	1.57
13	9	55	241	6.25	1.57
14	0	5	491	0	-1.57
14	1	5	195	11.68	-1.57
14	2	5	496	3.42	-1.57
14	3	5	114	7.52	-1.57
14	4	55	371	23.2	1.57
14	5	497	210	1.45	3.14
14	6	55	176	0	1.57
14	7	4	241	22.29	-1.57
14	8	55	34	18.74	1.57
14	9	55	243	2.86	1.57
15	0	5	482	9.03	-1.57
15	1	4	184	11.04	-1.57
15	2	5	487	9.03	-1.57
15	3	4	99	14.95	-1.57
15	4	55	395	24.07	1.57
15	5	497	210	0	3.14
15	6	55	184	7.75	1.57
15	7	4	225	15.63	-1.57
15	8	55	53	18.51	1.57
15	9	55	245	1.12	1.57
16	0	4	464	17.62	-1.57
16	1	4	172	12.24	-1.57
16	2	4	469	17.62	-1.57
16	3	4	91	7.77	-1.57
16	4	55	410	14.69	1.57
16	5	497	210	0.13	3.14
16	6	55	195	10.57	1.57
16	7	5	210	22.77	-1.57
16	8	55	75	22.18	1.57
16	9	55	253	8.54	1.57
