models=FreeWay	maxpausetime=10	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=10	height=500	lanenum=1	width=500	dir2lanespace=10	pointsX=50.0,51.0,198.0,	dir12space=50	pointsY=50.0,336.0,332.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=2	maxsimulationtime=200
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	0	304	0	4.71
1	1	50	306	0.27	1.57
2	0	0	303	0.68	4.71
2	1	50	306	0	1.57
3	0	0	303	0	4.71
3	1	50	306	0	1.57
4	0	0	302	1.45	4.71
4	1	50	307	1.25	1.57
5	0	0	302	0.12	4.71
5	1	50	308	0.33	1.57
6	0	0	301	0.88	4.71
6	1	50	309	1.23	1.57
7	0	0	298	2.35	4.71
7	1	50	309	0.37	1.57
8	0	0	294	4.31	4.71
8	1	50	311	1.82	1.57
9	0	0	288	5.66	4.71
9	1	50	314	2.95	1.57
10	0	0	282	6.45	4.71
10	1	50	317	3.27	1.57
11	0	0	275	7.34	4.71
11	1	50	321	3.61	1.57
12	0	0	266	9.1	4.71
12	1	50	323	2.06	1.57
13	0	0	256	9.41	4.71
13	1	50	323	0.6	1.57
14	0	0	248	8.55	4.71
14	1	50	324	0.89	1.57
15	0	0	240	7.62	4.71
15	1	50	326	2.1	1.57
16	0	0	234	6.34	4.71
16	1	50	329	3	1.57
17	0	0	227	6.96	4.71
17	1	50	331	1.16	1.57
18	0	0	220	7.06	4.71
18	1	50	333	2.02	1.57
19	0	0	211	8.86	4.71
19	1	50	334	1.12	1.57
20	0	0	204	7.19	4.71
20	1	51	336	2.31	1.57
21	0	0	196	7.54	4.71
21	1	52	335	1.57	6.26
22	0	0	187	8.92	4.71
22	1	55	335	2.91	6.26
23	0	0	180	7.27	4.71
23	1	58	335	2.69	6.26
24	0	0	172	7.96	4.71
24	1	59	335	1.82	6.26
25	0	0	163	8.91	4.71
25	1	63	335	3.25	6.26
26	0	0	153	9.42	4.71
26	1	67	335	4.73	6.26
27	0	0	143	10	4.71
27	1	72	335	4.98	6.26
28	0	0	133	10	4.71
28	1	76	335	3.82	6.26
29	0	0	124	9.97	4.71
29	1	81	335	5.15	6.26
30	0	0	114	10	4.71
30	1	88	334	6.43	6.26
31	0	0	105	8.43	4.71
31	1	95	334	7.14	6.26
32	0	0	97	8.17	4.71
32	1	101	334	5.96	6.26
33	0	0	88	9.11	4.71
33	1	105	334	4.09	6.26
34	0	0	78	10	4.71
34	1	110	334	4.49	6.26
35	0	0	69	8.45	4.71
35	1	114	334	5	6.26
36	0	0	61	8.2	4.71
36	1	120	334	5.57	6.26
37	0	0	52	9	4.71
37	1	127	333	7.44	6.26
38	0	0	50	10	4.71
38	1	135	333	7.45	6.26
39	0	10	50	10	6.28
39	1	142	333	7.05	6.26
40	0	18	50	8.63	6.28
40	1	149	333	6.79	6.26
41	0	28	50	10	6.28
41	1	155	333	6.65	6.26
42	0	37	50	9.03	6.28
42	1	163	332	7.64	6.26
43	0	46	50	9.1	6.28
43	1	169	332	5.71	6.26
44	0	50	50	10	6.28
44	1	173	332	4.37	6.26
45	0	50	50	8.39	1.57
45	1	179	332	5.74	6.26
46	0	50	56	6.91	1.57
46	1	183	332	4.41	6.26
47	0	50	64	7.2	1.57
47	1	188	332	4.64	6.26
48	0	50	71	7.65	1.57
48	1	194	332	5.67	6.26
49	0	50	80	9.11	1.57
49	1	198	332	5.31	6.26
50	0	50	90	10	1.57
50	1	198	332	4.06	1.54
51	0	50	99	8.86	1.57
51	1	198	337	5.06	1.54
52	0	50	109	9.34	1.57
52	1	198	342	5.25	1.54
53	0	50	116	7.89	1.57
53	1	198	348	5.77	1.54
54	0	50	126	9.65	1.57
54	1	198	355	7.58	1.54
55	0	50	136	10	1.57
55	1	198	364	8.49	1.54
56	0	50	145	8.64	1.57
56	1	199	372	8.64	1.54
57	0	50	152	6.99	1.57
57	1	199	379	6.82	1.54
58	0	50	160	8.66	1.57
58	1	199	381	8.3	1.54
59	0	50	168	7.69	1.57
59	1	199	381	7.97	3.11
60	0	50	175	6.48	1.57
60	1	192	382	6.88	3.11
61	0	50	181	6.33	1.57
61	1	186	382	5.71	3.11
62	0	50	188	6.63	1.57
62	1	180	382	6.69	3.11
63	0	50	196	7.96	1.57
63	1	172	382	7.66	3.11
64	0	50	204	8.58	1.57
64	1	164	382	8.24	3.11
65	0	50	211	6.97	1.57
65	1	155	383	8.47	3.11
66	0	50	217	5.67	1.57
66	1	148	383	7.55	3.11
67	0	50	224	7.23	1.57
67	1	138	383	9.36	3.11
68	0	50	230	6.39	1.57
68	1	131	383	7.46	3.11
69	0	50	238	7.19	1.57
69	1	122	384	8.96	3.11
