models=FreeWay	maxpausetime=10	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=500	lanenum=2	width=500	dir2lanespace=30	pointsX=50.0,50.0,200.0,	dir12space=0	pointsY=50.0,340.0,340.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=2	maxsimulationtime=20
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	50	281	1.29	-1.57
1	1	50	333	0.79	-1.57
2	0	50	281	0	-1.57
2	1	50	331	2.73	-1.57
3	0	50	280	0.8	-1.57
3	1	50	327	3.87	-1.57
4	0	50	280	0	-1.57
4	1	50	321	5.7	-1.57
5	0	50	280	0	-1.57
5	1	50	315	6.54	-1.57
6	0	50	280	0	-1.57
6	1	50	307	7.34	-1.57
7	0	50	280	0	-1.57
7	1	50	299	8.72	-1.57
8	0	50	279	0.83	-1.57
8	1	50	298	0.83	-1.57
9	0	50	278	0.98	-1.57
9	1	50	297	0.99	-1.57
10	0	50	278	0.19	-1.57
10	1	50	297	0	-1.57
11	0	50	278	0	-1.57
11	1	50	296	0.35	-1.57
12	0	50	278	0	-1.57
12	1	50	296	0.68	-1.57
13	0	50	277	1.16	-1.57
13	1	50	294	1.75	-1.57
14	0	50	274	2.87	-1.57
14	1	50	294	0.06	-1.57
15	0	50	271	3.32	-1.57
15	1	50	294	0.23	-1.57
16	0	50	267	3.77	-1.57
16	1	50	293	1.07	-1.57
17	0	50	265	2.18	-1.57
17	1	50	291	1.48	-1.57
18	0	50	263	2.29	-1.57
18	1	50	290	1.47	-1.57
19	0	50	260	2.56	-1.57
19	1	50	288	1.77	-1.57
20	0	50	257	2.82	-1.57
20	1	50	286	2.16	-1.57
