models=FreeWay	maxpausetime=10	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=10	height=500	lanenum=2	width=500	dir2lanespace=10	pointsX=50.0,150.0,150.0,450.0,	dir12space=20	pointsY=50.0,150.0,350.0,450.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=30	maxsimulationtime=200
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	280	351	1.64	3.46
1	1	375	414	1.01	0.32
1	2	327	409	0	0.32
1	3	371	392	0.62	3.46
1	4	370	413	0	0.32
1	5	295	387	0	0.32
1	6	185	330	1.7	3.46
1	7	145	131	1.35	0.79
1	8	144	144	0	0.79
1	9	238	379	0.81	0.32
1	10	93	51	1.37	3.93
1	11	150	252	0	1.57
1	12	102	102	0	0.79
1	13	344	372	1.13	3.46
1	14	152	138	1.76	0.79
1	15	160	193	1.6	1.57
1	16	188	352	0.01	0.32
1	17	271	358	0	3.46
1	18	124	68	0.56	3.93
1	19	160	286	0	1.57
1	20	347	405	1.19	0.32
1	21	88	88	0	0.79
1	22	326	366	0.6	3.46
1	23	122	79	0.86	3.93
1	24	160	316	0.88	1.57
1	25	344	404	0.52	0.32
1	26	118	118	0	0.79
1	27	150	211	0.44	1.57
1	28	303	369	0.06	3.46
1	29	150	246	0	1.57
2	0	277	350	3.2	3.46
2	1	377	415	1.96	0.32
2	2	327	409	0	0.32
2	3	370	391	1.46	3.46
2	4	370	413	0	0.32
2	5	296	388	0.89	0.32
2	6	184	329	1.17	3.46
2	7	147	133	2.41	0.79
2	8	144	144	0	0.79
2	9	238	379	0	0.32
2	10	93	51	0.48	3.93
2	11	150	252	0.7	1.57
2	12	102	102	0.46	0.79
2	13	342	371	2.8	3.46
2	14	154	140	2.27	0.79
2	15	160	195	2.16	1.57
2	16	189	352	0.66	0.32
2	17	270	358	0.52	3.46
2	18	122	66	2.56	3.93
2	19	160	286	0	1.57
2	20	350	406	2.37	0.32
2	21	89	89	1.11	0.79
2	22	325	366	1.32	3.46
2	23	121	78	1.32	3.93
2	24	160	316	0.41	1.57
2	25	344	404	0.71	0.32
2	26	118	118	0	0.79
2	27	150	211	0	1.57
2	28	302	369	0.56	3.46
2	29	150	246	0.41	1.57
3	0	276	349	1.66	3.46
3	1	379	415	2.02	0.32
3	2	327	409	0	0.32
3	3	369	391	0.96	3.46
3	4	371	413	0.62	0.32
3	5	298	388	2.67	0.32
3	6	184	329	0.09	3.46
3	7	149	135	3.74	0.79
3	8	144	144	0	0.79
3	9	238	379	0	0.32
3	10	93	51	0	3.93
3	11	150	253	0.67	1.57
3	12	104	104	2.16	0.79
3	13	338	370	4.1	3.46
3	14	157	143	4.03	0.79
3	15	160	199	3.43	1.57
3	16	189	352	0	0.32
3	17	269	358	1.8	3.46
3	18	121	65	1.68	3.93
3	19	160	287	0.74	1.57
3	20	351	406	1.01	0.32
3	21	90	90	1.88	0.79
3	22	322	365	2.16	3.46
3	23	120	78	0.31	3.93
3	24	160	316	0	1.57
3	25	347	405	2.42	0.32
3	26	118	118	0.66	0.79
3	27	150	211	0	1.57
3	28	301	369	0.76	3.46
3	29	150	247	0.5	1.57
4	0	274	349	1.98	3.46
4	1	383	417	3.92	0.32
4	2	328	409	1.04	0.32
4	3	369	391	0.09	3.46
4	4	373	413	1.99	0.32
4	5	302	390	4.21	0.32
4	6	183	329	0.54	3.46
4	7	153	139	4.87	0.79
4	8	144	144	0	0.79
4	9	240	380	1.68	0.32
4	10	93	51	0	3.93
4	11	150	255	1.45	1.57
4	12	106	106	3.04	0.79
4	13	334	369	4.29	3.46
4	14	159	145	3	0.79
4	15	160	203	3.86	1.57
4	16	189	352	0.3	0.32
4	17	265	356	3.54	3.46
4	18	121	64	0.74	3.93
4	19	160	288	0.41	1.57
4	20	351	406	0.75	0.32
4	21	92	92	2.91	0.79
4	22	322	365	0.87	3.46
4	23	120	78	0	3.93
4	24	160	318	1.73	1.57
4	25	347	405	0.75	0.32
4	26	119	119	0.74	0.79
4	27	150	213	1.91	1.57
4	28	301	368	0.12	3.46
4	29	150	248	0.76	1.57
5	0	271	348	2.45	3.46
5	1	388	418	5.54	0.32
5	2	329	409	1.24	0.32
5	3	367	391	1.28	3.46
5	4	376	414	3.02	0.32
5	5	307	391	4.85	0.32
5	6	181	329	1.85	3.46
5	7	155	141	3.39	0.79
5	8	145	145	1.74	0.79
5	9	242	380	2.05	0.32
5	10	93	51	0	3.93
5	11	150	255	0.4	1.57
5	12	107	107	1.69	0.79
5	13	331	368	2.75	3.46
5	14	160	145	3.39	0.79
5	15	160	207	4.59	1.57
5	16	189	352	0	0.32
5	17	261	355	4.04	3.46
5	18	121	64	0	3.93
5	19	160	290	1.87	1.57
5	20	353	407	2.02	0.32
5	21	93	93	1.59	0.79
5	22	320	364	1.69	3.46
5	23	120	78	0	3.93
5	24	160	321	3.65	1.57
5	25	349	405	1.38	0.32
5	26	119	119	1.09	0.79
5	27	150	216	3.59	1.57
5	28	301	368	0.54	3.46
5	29	150	248	0.64	1.57
6	0	268	347	3.26	3.46
6	1	394	421	7.04	0.32
6	2	329	409	0.47	0.32
6	3	366	390	1.62	3.46
6	4	380	416	4.21	0.32
6	5	312	393	5.59	0.32
6	6	179	328	2.36	3.46
6	7	156	142	1.45	0.79
6	8	145	145	0.1	0.79
6	9	245	381	3.62	0.32
6	10	93	50	0.42	3.93
6	11	150	256	1.31	1.57
6	12	109	109	1.86	0.79
6	13	327	366	4.41	3.46
6	14	160	150	4.72	1.57
6	15	160	213	5.49	1.57
6	16	189	352	0.01	0.32
6	17	259	354	2.24	3.46
6	18	121	64	0.04	3.93
6	19	160	292	2.21	1.57
6	20	354	407	0.84	0.32
6	21	95	95	2.53	0.79
6	22	318	363	2.47	3.46
6	23	120	78	0.25	3.93
6	24	160	323	2.03	1.57
6	25	350	406	1.5	0.32
6	26	119	119	0	0.79
6	27	150	218	1.95	1.57
6	28	301	368	0.21	3.46
6	29	150	248	0	1.57
7	0	265	346	3.21	3.46
7	1	402	423	7.61	0.32
7	2	331	410	1.81	0.32
7	3	364	389	2.22	3.46
7	4	383	417	3.1	0.32
7	5	318	395	6.17	0.32
7	6	179	328	4.29	4.71
7	7	158	144	3.02	0.79
7	8	146	146	0.75	0.79
7	9	249	383	3.36	0.32
7	10	93	50	0	3.93
7	11	150	259	2.83	1.57
7	12	109	109	0.53	0.79
7	13	322	365	5.32	3.46
7	14	160	157	6.7	1.57
7	15	160	219	6.57	1.57
7	16	189	352	0.11	0.32
7	17	258	354	1.43	3.46
7	18	119	63	1.8	3.93
7	19	160	295	3.54	1.57
7	20	354	407	0	0.32
7	21	98	98	3.3	0.79
7	22	315	362	3.35	3.46
7	23	120	78	0	3.93
7	24	160	324	0.76	1.57
7	25	352	406	1.97	0.32
7	26	120	120	1.04	0.79
7	27	150	222	3.71	1.57
7	28	300	368	0.4	3.46
7	29	150	249	0.71	1.57
8	0	263	345	2.13	3.46
8	1	410	426	8.47	0.32
8	2	335	411	3.59	0.32
8	3	361	388	2.98	3.46
8	4	386	418	3.54	0.32
8	5	324	397	6.3	0.32
8	6	179	325	2.94	4.71
8	7	160	145	4.51	0.79
8	8	146	146	0.5	0.79
8	9	251	383	2.08	0.32
8	10	92	49	1.78	3.93
8	11	150	263	4.1	1.57
8	12	110	110	1.62	0.79
8	13	317	363	4.93	3.46
8	14	160	164	7.05	1.57
8	15	160	225	5.91	1.57
8	16	189	352	0.16	0.32
8	17	258	354	0.29	3.46
8	18	119	63	0	3.93
8	19	160	297	1.81	1.57
8	20	356	408	1.74	0.32
8	21	100	100	3.45	0.79
8	22	310	361	4.93	3.46
8	23	120	78	0.38	3.93
8	24	160	325	1.17	1.57
8	25	354	407	1.74	0.32
8	26	120	120	0.21	0.79
8	27	150	226	3.84	1.57
8	28	300	368	0	3.46
8	29	150	250	1.46	1.57
9	0	259	344	4.11	3.46
9	1	416	428	7.04	0.32
9	2	336	412	1.98	0.32
9	3	358	387	3.6	3.46
9	4	391	419	5.34	0.32
9	5	331	399	7.54	0.32
9	6	179	320	4.66	4.71
9	7	160	152	6.29	1.57
9	8	146	146	0	0.79
9	9	253	384	2.35	0.32
9	10	91	48	1.42	3.93
9	11	150	267	3.69	1.57
9	12	112	112	2.87	0.79
9	13	312	362	4.89	3.46
9	14	160	171	7.42	1.57
9	15	160	230	4.52	1.57
9	16	189	352	0.4	0.32
9	17	256	353	1.71	3.46
9	18	119	63	0	3.93
9	19	160	299	2.38	1.57
9	20	357	408	1.55	0.32
9	21	101	101	1.87	0.79
9	22	305	359	4.89	3.46
9	23	120	78	0	3.93
9	24	160	326	0.13	1.57
9	25	355	408	1.55	0.32
9	26	120	120	0.08	0.79
9	27	150	228	2.3	1.57
9	28	300	368	0	3.46
9	29	150	252	1.89	1.57
10	0	256	343	3.88	3.46
10	1	424	430	7.56	0.32
10	2	339	413	2.63	0.32
10	3	354	386	3.72	3.46
10	4	395	421	4.3	0.32
10	5	340	402	9.23	0.32
10	6	179	317	3.53	4.71
10	7	160	160	8.19	1.57
10	8	146	146	0	0.79
10	9	254	384	1.8	0.32
10	10	89	46	2.57	3.93
10	11	150	272	5.39	1.57
10	12	115	115	3.8	0.79
10	13	308	360	4.65	3.46
10	14	160	180	9.02	1.57
10	15	160	234	4.66	1.57
10	16	191	353	1.88	0.32
10	17	255	353	1.2	3.46
10	18	119	62	1.2	3.93
10	19	160	300	0.78	1.57
10	20	358	408	0.61	0.32
10	21	104	104	3.25	0.79
10	22	299	357	6.22	3.46
10	23	120	77	0.25	3.93
10	24	160	326	0.8	1.57
10	25	356	408	0.61	0.32
10	26	120	120	0	0.79
10	27	150	231	2.94	1.57
10	28	300	368	0.44	3.46
10	29	150	254	1.95	1.57
11	0	250	341	5.73	3.46
11	1	433	433	9.46	0.32
11	2	340	413	1.13	0.32
11	3	349	384	5.57	3.46
11	4	399	422	4.47	0.32
11	5	341	403	1.32	0.32
11	6	179	312	4.83	4.71
11	7	160	170	9.71	1.57
11	8	146	146	0	0.79
11	9	256	385	1.89	0.32
11	10	86	44	3.64	3.93
11	11	150	279	6.98	1.57
11	12	117	117	2.56	0.79
11	13	305	359	3.14	3.46
11	14	160	190	10	1.57
11	15	160	238	3.52	1.57
11	16	192	353	0.78	0.32
11	17	255	353	0	3.46
11	18	117	60	2.89	3.93
11	19	160	302	1.73	1.57
11	20	359	409	1.51	0.32
11	21	105	105	2.51	0.79
11	22	293	355	6.84	3.46
11	23	119	77	0.78	3.93
11	24	160	329	2.41	1.57
11	25	357	408	1.32	0.32
11	26	121	121	1.16	0.79
11	27	150	235	3.82	1.57
11	28	300	368	0	3.46
11	29	150	255	0.95	1.57
12	0	246	339	4.75	3.46
12	1	442	436	10	0.32
12	2	341	413	0.59	0.32
12	3	344	383	5.48	3.46
12	4	405	424	5.73	0.32
12	5	344	404	2.86	0.32
12	6	179	308	3.77	4.71
12	7	160	179	9.86	1.57
12	8	147	147	0.64	0.79
12	9	258	386	1.64	0.32
12	10	83	41	3.88	3.93
12	11	150	286	6.84	1.57
12	12	117	117	0.95	0.79
12	13	301	358	3.93	3.46
12	14	160	200	10	1.57
12	15	160	240	1.77	1.57
12	16	193	353	0.78	0.32
12	17	255	353	0	3.46
12	18	114	58	3.12	3.93
12	19	160	305	3.35	1.57
12	20	362	410	2.99	0.32
12	21	108	108	3.05	0.79
12	22	286	353	7.62	3.46
12	23	119	77	0	3.93
12	24	160	331	2.13	1.57
12	25	360	409	2.8	0.32
12	26	122	122	0.95	0.79
12	27	150	240	5.25	1.57
12	28	300	368	0.23	3.46
12	29	150	258	2.55	1.57
13	0	241	338	4.49	3.46
13	1	451	440	10	0.32
13	2	343	414	2.22	0.32
13	3	338	381	5.56	3.46
13	4	412	427	7.65	0.32
13	5	345	404	1.95	0.32
13	6	179	304	4.22	4.71
13	7	160	189	10	1.57
13	8	147	147	0	0.79
13	9	260	386	1.82	0.32
13	10	79	37	5.85	3.93
13	11	150	293	6.81	1.57
13	12	119	119	1.76	0.79
13	13	296	356	5.5	3.46
13	14	160	209	8.27	1.57
13	15	160	242	2.7	1.57
13	16	193	354	0.53	0.32
13	17	255	353	0	3.46
13	18	111	55	4.37	3.93
13	19	160	311	5.26	1.57
13	20	365	411	3.59	0.32
13	21	111	111	4.51	0.79
13	22	279	350	7.26	3.46
13	23	119	77	0	3.93
13	24	160	334	3.62	1.57
13	25	361	409	0.94	0.32
13	26	122	122	0.39	0.79
