models=FreeWay	maxpausetime=10	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=500	lanenum=2	width=500	dir2lanespace=50	pointsX=50.0,50.0,	dir12space=0	pointsY=50.0,340.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=2	maxsimulationtime=60
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	50	298	0.18	1.57
1	1	50	199	0.02	1.57
2	0	50	299	0.92	1.57
2	1	50	199	0.01	1.57
3	0	50	301	1.86	1.57
3	1	50	201	1.8	1.57
4	0	50	303	2.17	1.57
4	1	50	203	2.02	1.57
5	0	50	305	2.49	1.57
5	1	50	206	2.89	1.57
6	0	50	307	1.45	1.57
6	1	50	210	3.71	1.57
7	0	50	307	0	1.57
7	1	50	215	5.29	1.57
8	0	50	307	0.12	1.57
8	1	50	222	6.97	1.57
9	0	50	309	2.08	1.57
9	1	50	230	7.62	1.57
10	0	50	313	3.96	1.57
10	1	50	237	7.44	1.57
11	0	50	317	3.82	1.57
11	1	50	244	7.09	1.57
12	0	50	320	2.79	1.57
12	1	50	251	6.71	1.57
13	0	50	323	3.36	1.57
13	1	50	258	7.06	1.57
14	0	50	327	3.58	1.57
14	1	50	266	8.11	1.57
15	0	50	330	3.73	1.57
15	1	50	275	8.53	1.57
16	0	50	336	5.53	1.57
16	1	50	285	10	1.57
17	0	50	340	3.82	1.57
17	1	50	294	8.91	1.57
18	0	50	340	3.95	0
18	1	50	301	7.15	1.57
19	0	50	337	2.69	-1.57
19	1	50	308	7.3	1.57
20	0	50	335	2.15	-1.57
20	1	50	315	7.02	1.57
21	0	50	331	3.59	-1.57
21	1	50	323	8.36	1.57
22	0	50	326	5.25	-1.57
22	1	50	330	7.04	1.57
23	0	50	320	5.91	-1.57
23	1	50	339	8.71	1.57
24	0	50	313	6.56	-1.57
24	1	50	340	10	1.57
25	0	50	305	7.85	-1.57
25	1	50	340	10	0
26	0	50	298	7.05	-1.57
26	1	50	330	9.14	-1.57
27	0	50	290	8.7	-1.57
27	1	50	320	10	-1.57
28	0	50	280	9.8	-1.57
28	1	50	310	10	-1.57
29	0	50	272	8.11	-1.57
29	1	50	302	8.84	-1.57
30	0	50	262	9.49	-1.57
30	1	50	292	9.28	-1.57
31	0	50	252	10	-1.57
31	1	50	282	10	-1.57
32	0	50	242	10	-1.57
32	1	50	272	10	-1.57
33	0	50	232	10	-1.57
33	1	50	262	10	-1.57
34	0	50	222	10	-1.57
34	1	50	253	9	-1.57
35	0	50	212	10	-1.57
35	1	50	243	10	-1.57
36	0	50	203	9.33	-1.57
36	1	50	233	10	-1.57
37	0	50	193	9.53	-1.57
37	1	50	223	10	-1.57
38	0	50	185	8.56	-1.57
38	1	50	213	10	-1.57
39	0	50	177	7.61	-1.57
39	1	50	203	10	-1.57
40	0	50	170	7.2	-1.57
40	1	50	193	10	-1.57
41	0	50	162	8.13	-1.57
41	1	50	183	10	-1.57
42	0	50	154	8.38	-1.57
42	1	50	175	8.56	-1.57
43	0	50	144	9.27	-1.57
43	1	50	168	7.12	-1.57
44	0	50	134	10	-1.57
44	1	50	159	8.94	-1.57
45	0	50	126	8.75	-1.57
45	1	50	149	10	-1.57
46	0	50	117	8.48	-1.57
46	1	50	139	10	-1.57
47	0	50	108	9.21	-1.57
47	1	50	130	8.58	-1.57
48	0	50	99	8.84	-1.57
48	1	50	122	8.07	-1.57
49	0	50	89	9.88	-1.57
49	1	50	114	8.35	-1.57
50	0	50	81	8.45	-1.57
50	1	50	104	9.99	-1.57
51	0	50	73	7.74	-1.57
51	1	50	94	10	-1.57
52	0	50	63	9.68	-1.57
52	1	50	84	9.19	-1.57
53	0	50	55	8.57	-1.57
53	1	50	74	10	-1.57
54	0	50	50	7.93	-1.57
54	1	50	64	10	-1.57
55	0	50	50	7.01	0
55	1	50	57	7.01	-1.57
56	0	50	50	5.84	1.57
56	1	50	52	5.84	-1.57
57	0	50	55	5.22	1.57
57	1	50	50	5.55	-1.57
58	0	50	61	6.13	1.57
58	1	50	50	6.14	0
59	0	50	65	4.27	1.57
59	1	50	50	5.51	1.57
60	0	50	70	5.03	1.57
60	1	50	55	5.96	1.57
