models=FreeWay	maxpausetime=2	minspeed=22	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=1000	lanenum=1	width=3000	dir2lanespace=0	pointsX=358.0,2577.0,2572.0,	dir12space=50	pointsY=58.0,56.0,614.0,	maxacceleration=2	maxspeed=33	safedistanceratio=2.0	positiveaccratio=20.0	filenamegenerator=simple	seed=testnew	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=30	maxsimulationtime=90
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	1677	56	1.94	6.28
1	1	1550	6	0.6	3.14
1	2	2132	6	1.17	3.14
1	3	466	57	1.01	6.28
1	4	2406	56	0.81	6.28
1	5	362	7	1.8	3.14
1	6	1212	7	1.35	3.14
1	7	1836	56	0.81	6.28
1	8	2622	581	1.59	4.72
1	9	615	7	0.81	3.14
1	10	2626	123	0.57	4.72
1	11	2450	6	1.9	3.14
1	12	2599	5	0.81	3.14
1	13	2572	534	1.5	1.58
1	14	2622	537	0	4.72
1	15	383	7	0.46	3.14
1	16	429	7	1.24	3.14
1	17	522	7	1.33	3.14
1	18	1348	7	0.97	3.14
1	19	2526	56	0.76	6.28
1	20	575	7	1.47	3.14
1	21	2319	56	0.3	6.28
1	22	1270	7	0.32	3.14
1	23	1951	6	0.4	3.14
1	24	896	7	1.72	3.14
1	25	1139	57	0	6.28
1	26	732	57	0.59	6.28
1	27	731	57	0.59	6.28
1	28	801	7	1.51	3.14
1	29	2118	56	1.4	6.28
2	0	1679	56	2.29	6.28
2	1	1548	6	1.35	3.14
2	2	2130	6	2.43	3.14
2	3	467	57	1.69	6.28
2	4	2408	56	1.64	6.28
2	5	358	7	3.56	3.14
2	6	1210	7	1.61	3.14
2	7	1838	56	1.36	6.28
2	8	2622	579	1.98	4.72
2	9	613	7	2.42	3.14
2	10	2626	123	0.72	4.72
2	11	2447	6	2.37	3.14
2	12	2597	5	2.15	3.14
2	13	2572	536	2.54	1.58
2	14	2622	536	1.36	4.72
2	15	382	7	1.67	3.14
2	16	428	7	1.29	3.14
2	17	520	7	1.48	3.14
2	18	1347	7	1.59	3.14
2	19	2527	56	0.88	6.28
2	20	572	7	2.94	3.14
2	21	2320	56	0.31	6.28
2	22	1270	7	0.4	3.14
2	23	1949	6	1.63	3.14
2	24	894	7	1.78	3.14
2	25	1140	57	0.32	6.28
2	26	733	57	1.55	6.28
2	27	732	57	0.72	6.28
2	28	799	7	2.69	3.14
2	29	2119	56	1.43	6.28
3	0	1683	56	3.77	6.28
3	1	1545	6	3	3.14
3	2	2126	6	4.35	3.14
3	3	469	57	1.8	6.28
3	4	2411	56	2.51	6.28
3	5	357	8	4.45	3.14
3	6	1208	7	2.16	3.14
3	7	1840	56	2.21	6.28
3	8	2622	577	2.19	4.72
3	9	609	7	3.48	3.14
3	10	2626	121	1.13	4.72
3	11	2443	6	3.84	3.14
3	12	2594	5	3.15	3.14
3	13	2572	540	4.04	1.58
3	14	2622	534	1.96	4.72
3	15	378	7	3.33	3.14
3	16	425	7	2.35	3.14
3	17	518	7	1.66	3.14
3	18	1345	7	1.7	3.14
3	19	2530	56	2.66	6.28
3	20	567	7	4.73	3.14
3	21	2321	56	1.74	6.28
3	22	1269	7	1.17	3.14
3	23	1947	6	1.85	3.14
3	24	891	7	3.06	3.14
3	25	1142	57	2.17	6.28
3	26	736	57	2.43	6.28
3	27	735	57	2.43	6.28
3	28	795	7	3.13	3.14
3	29	2121	56	1.59	6.28
4	0	1688	56	5.42	6.28
4	1	1541	6	4.2	3.14
4	2	2120	6	5.87	3.14
4	3	472	57	3.14	6.28
4	4	2414	56	3.88	6.28
4	5	357	8	4.53	1.57
4	6	1205	7	3.35	3.14
4	7	1844	56	3.58	6.28
4	8	2622	574	2.66	4.72
4	9	605	7	3.93	3.14
4	10	2626	120	1.77	4.72
4	11	2439	6	3.9	3.14
4	12	2589	5	4.6	3.14
4	13	2572	546	5.92	1.58
4	14	2622	530	3.75	4.72
4	15	374	7	4.68	3.14
4	16	421	7	4.11	3.14
4	17	516	7	2.23	3.14
4	18	1342	7	2.83	3.14
4	19	2534	56	4.21	6.28
4	20	562	7	5.32	3.14
4	21	2324	56	2.17	6.28
4	22	1266	7	2.35	3.14
4	23	1944	6	3.79	3.14
4	24	887	7	3.8	3.14
4	25	1144	57	2.62	6.28
4	26	738	57	2.72	6.28
4	27	737	57	2.72	6.28
4	28	791	7	4.5	3.14
4	29	2123	56	2.31	6.28
5	0	1696	56	7.41	6.28
5	1	1536	6	4.9	3.14
5	2	2115	6	4.84	3.14
5	3	476	57	3.76	6.28
5	4	2419	56	4.16	6.28
5	5	357	14	6.08	1.57
5	6	1200	7	4.93	3.14
5	7	1848	56	4.19	6.28
5	8	2622	571	2.96	4.72
5	9	599	7	5.9	3.14
5	10	2626	116	3.62	4.72
5	11	2435	6	4.28	3.14
5	12	2583	5	6.15	3.14
5	13	2572	554	7.67	1.58
5	14	2622	524	5.71	4.72
5	15	368	7	5.25	3.14
5	16	417	7	4.19	3.14
5	17	513	7	2.66	3.14
5	18	1337	7	4.65	3.14
5	19	2539	56	5.62	6.28
5	20	556	7	5.84	3.14
5	21	2327	56	3.12	6.28
5	22	1263	7	3.49	3.14
5	23	1939	6	5.12	3.14
5	24	882	7	4.99	3.14
5	25	1145	57	1.02	6.28
5	26	742	57	3.91	6.28
5	27	741	57	3.91	6.28
5	28	786	7	5.3	3.14
5	29	2126	56	2.98	6.28
6	0	1704	56	8.03	6.28
6	1	1531	6	5.28	3.14
6	2	2108	6	6.58	3.14
6	3	480	57	4.14	6.28
6	4	2424	56	5.45	6.28
6	5	357	21	7.86	1.57
6	6	1193	7	6.63	3.14
6	7	1853	56	5.61	6.28
6	8	2622	567	4.08	4.72
6	9	592	7	7.17	3.14
6	10	2626	111	5.3	4.72
6	11	2429	6	6.02	3.14
6	12	2576	6	7.56	3.14
6	13	2572	563	9.23	1.58
6	14	2622	518	6.65	4.72
6	15	361	7	7.2	3.14
6	16	413	7	4.45	3.14
6	17	512	7	1.81	3.14
6	18	1333	7	4.78	3.14
6	19	2547	56	7.46	6.28
6	20	550	7	6.46	3.14
6	21	2331	56	4.49	6.28
6	22	1258	7	5.38	3.14
6	23	1932	6	6.62	3.14
6	24	875	7	6.78	3.14
6	25	1147	57	1.89	6.28
6	26	748	57	5.46	6.28
6	27	746	57	4.45	6.28
6	28	779	7	6.92	3.14
6	29	2129	56	3.2	6.28
7	0	1710	56	6.13	6.28
7	1	1524	6	7.14	3.14
7	2	2100	6	7.96	3.14
7	3	485	57	4.57	6.28
7	4	2431	56	7.14	6.28
7	5	357	30	8.26	1.57
7	6	1185	7	8.28	3.14
7	7	1860	56	6.72	6.28
7	8	2622	562	5.14	4.72
7	9	585	7	6.7	3.14
7	10	2626	104	7.21	4.72
7	11	2422	6	6.92	3.14
7	12	2568	6	7.84	3.14
7	13	2572	573	10.23	1.58
7	14	2622	509	8.14	4.72
7	15	357	8	7.98	3.14
7	16	408	7	4.61	3.14
7	17	509	7	3.11	3.14
7	18	1327	7	6.11	3.14
7	19	2556	56	9.26	6.28
7	20	542	7	8	3.14
7	21	2337	56	6.23	6.28
7	22	1251	7	6.78	3.14
7	23	1924	6	7.75	3.14
7	24	867	7	7.8	3.14
7	25	1150	57	2.66	6.28
7	26	753	57	5.5	6.28
7	27	751	57	5.44	6.28
7	28	770	7	8.46	3.14
7	29	2132	56	3.21	6.28
8	0	1717	56	7.31	6.28
8	1	1515	6	8.45	3.14
8	2	2090	6	9.95	3.14
8	3	491	57	6.02	6.28
8	4	2439	56	7.93	6.28
8	5	357	40	10.11	1.57
8	6	1175	7	9.49	3.14
8	7	1869	56	8.51	6.28
8	8	2622	556	6.37	4.72
8	9	577	7	8.1	3.14
8	10	2626	95	9.08	4.72
8	11	2415	6	7.72	3.14
8	12	2560	6	8.04	3.14
8	13	2572	584	11.07	1.58
8	14	2623	502	7.85	4.72
8	15	357	8	9.71	1.57
8	16	402	7	6.29	3.14
8	17	505	7	4	3.14
8	18	1319	7	7.15	3.14
8	19	2564	56	7.49	6.28
8	20	533	7	8.72	3.14
8	21	2344	56	6.26	6.28
8	22	1243	7	7.75	3.14
8	23	1915	6	9.23	3.14
8	24	859	7	8.27	3.14
8	25	1153	57	3.32	6.28
8	26	760	57	6.39	6.28
8	27	757	57	5.7	6.28
8	28	762	7	8.65	3.14
8	29	2137	56	5.08	6.28
9	0	1725	56	7.89	6.28
9	1	1506	6	9.25	3.14
9	2	2079	6	11.36	3.14
9	3	498	57	7.04	6.28
9	4	2449	56	9.56	6.28
9	5	357	51	11.05	1.57
9	6	1164	7	11.13	3.14
9	7	1878	56	9.32	6.28
9	8	2622	548	7.98	4.72
9	9	568	7	9.63	3.14
9	10	2626	85	9.26	4.72
9	11	2407	6	7.13	3.14
9	12	2553	6	6.92	3.14
9	13	2572	596	11.42	1.58
9	14	2623	494	7.86	4.72
9	15	357	18	10.3	1.57
9	16	395	7	6.44	3.14
9	17	499	7	5.43	3.14
9	18	1312	7	7.28	3.14
9	19	2572	56	8.4	6.28
9	20	523	7	10.06	3.14
9	21	2350	56	6.58	6.28
9	22	1233	7	9.66	3.14
9	23	1904	6	10.54	3.14
9	24	849	7	9.78	3.14
9	25	1158	57	5.18	6.28
9	26	767	57	7.18	6.28
9	27	763	57	5.93	6.28
9	28	751	7	10.13	3.14
9	29	2144	56	6.47	6.28
10	0	1734	56	8.89	6.28
10	1	1496	6	10.28	3.14
10	2	2067	6	12.36	3.14
10	3	505	57	7.7	6.28
10	4	2457	56	8.74	6.28
10	5	358	58	13.03	1.57
10	6	1151	7	12.81	3.14
10	7	1887	56	9.53	6.28
10	8	2622	538	9.24	4.72
10	9	557	7	10.72	3.14
10	10	2626	74	11.22	4.72
10	11	2400	6	7.63	3.14
10	12	2545	6	7.6	3.14
10	13	2572	608	12.66	1.58
10	14	2623	484	9.7	4.72
10	15	357	29	10.85	1.57
10	16	388	7	7.46	3.14
10	17	492	7	7.19	3.14
10	18	1304	7	7.83	3.14
10	19	2577	56	9.98	6.28
10	20	511	7	11.49	3.14
10	21	2358	56	7.45	6.28
10	22	1222	7	11.39	3.14
10	23	1893	6	11.63	3.14
10	24	838	7	11.51	3.14
10	25	1164	57	5.33	6.28
10	26	774	57	7.61	6.28
10	27	770	57	7.61	6.28
10	28	741	7	10.81	3.14
