models=FreeWay	maxpausetime=10	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=500	lanenum=1	width=500	dir2lanespace=0	pointsX=50.0,150.0,150.0,450.0,	dir12space=50	pointsY=50.0,150.0,350.0,450.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=testnew	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=40	maxsimulationtime=11
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	464	402	1.49	3.46
1	1	66	66	1.65	0.79
1	2	150	156	0.8	1.57
1	3	199	294	0	4.71
1	4	199	266	0	4.71
1	5	199	244	0.07	4.71
1	6	192	364	0	0.32
1	7	256	332	0.95	3.46
1	8	233	377	0	0.32
1	9	388	376	1.44	3.46
1	10	265	335	0	3.46
1	11	286	395	1.54	0.32
1	12	342	414	0.14	0.32
1	13	199	132	0	4.71
1	14	214	371	0	0.32
1	15	150	218	0	1.57
1	16	425	441	2	0.32
1	17	117	117	1.8	0.79
1	18	147	76	0.46	3.93
1	19	150	169	0.69	1.57
1	20	334	358	1.22	3.46
1	21	176	106	0	3.93
1	22	150	316	0	1.57
1	23	96	26	0	3.93
1	24	391	377	0.41	3.46
1	25	150	272	0	1.57
1	26	200	129	1.79	-1.57
1	27	59	59	0	0.79
1	28	314	352	0.59	3.46
1	29	447	449	0	0.32
1	30	199	206	0.87	4.71
1	31	98	27	0	3.93
1	32	302	348	0	3.46
1	33	115	44	1.11	3.93
1	34	118	47	0	3.93
1	35	257	333	0.95	3.46
1	36	150	200	0.01	1.57
1	37	90	90	1.09	0.79
1	38	300	400	0	0.32
1	39	223	374	0	0.32
2	0	463	401	0.45	3.46
2	1	67	67	1.8	0.79
2	2	150	156	0	1.57
2	3	199	294	0.71	4.71
2	4	199	266	0.09	4.71
2	5	199	244	0	4.71
2	6	192	364	0	0.32
2	7	256	332	0.75	3.46
2	8	233	377	0.05	0.32
2	9	386	376	2.69	3.46
2	10	264	335	1.34	3.46
2	11	288	396	2.16	0.32
2	12	344	414	1.99	0.32
2	13	199	131	1.07	4.71
2	14	215	371	1.18	0.32
2	15	150	218	0	1.57
2	16	429	443	3.83	0.32
2	17	119	119	2.34	0.79
2	18	146	75	1.08	3.93
2	19	150	171	1.59	1.57
2	20	333	358	1.11	3.46
2	21	176	105	0.25	3.93
2	22	150	318	1.77	1.57
2	23	96	25	1.38	3.93
2	24	390	377	0.51	3.46
2	25	150	273	1.55	1.57
2	26	198	127	1.89	3.93
2	27	59	59	0	0.79
2	28	312	351	2.41	3.46
2	29	448	449	1.27	0.32
2	30	199	205	1.1	4.71
2	31	97	26	1.38	3.93
2	32	302	348	0.21	3.46
2	33	114	43	1.83	3.93
2	34	117	46	1.67	3.93
2	35	256	332	0.75	3.46
2	36	150	200	0.12	1.57
2	37	91	91	2.3	0.79
2	38	301	400	1.55	0.32
