models=FreeWay	maxpausetime=10	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=500	lanenum=1	width=500	dir2lanespace=50	pointsX=50.0,50.0,	dir12space=50	pointsY=50.0,340.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=testtm	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=1	maxsimulationtime=100
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	50	287	0.56	1.57
2	0	50	289	2.1	1.57
3	0	50	292	2.58	1.57
4	0	50	296	4.38	1.57
5	0	50	301	5.26	1.57
6	0	50	305	3.93	1.57
7	0	50	308	2.33	1.57
8	0	50	311	3	1.57
9	0	50	315	4.82	1.57
10	0	50	321	5.05	1.57
11	0	50	324	3.37	1.57
12	0	50	329	5.14	1.57
13	0	50	336	7.09	1.57
14	0	50	340	7.26	1.57
15	0	50	340	5.99	0
16	0	55	340	5.77	0
17	0	60	340	5.01	0
18	0	65	340	4.8	0
19	0	71	340	6.39	0
20	0	76	340	4.92	0
21	0	83	340	6.7	0
22	0	91	340	8.04	0
23	0	100	340	9.43	0
24	0	100	331	8.1	-1.57
25	0	100	324	7.08	-1.57
26	0	100	317	7.02	-1.57
27	0	100	310	7.76	-1.57
28	0	100	300	9.54	-1.57
29	0	100	290	10	-1.57
30	0	100	281	9.05	-1.57
31	0	100	271	10	-1.57
32	0	100	261	10	-1.57
33	0	100	253	8.3	-1.57
34	0	100	243	9.3	-1.57
35	0	100	236	7.65	-1.57
36	0	100	230	5.85	-1.57
37	0	100	223	6.85	-1.57
38	0	100	214	8.64	-1.57
39	0	100	205	9.59	-1.57
40	0	100	196	9.02	-1.57
41	0	100	188	7.97	-1.57
42	0	100	178	9.75	-1.57
43	0	100	168	10	-1.57
44	0	100	160	8.42	-1.57
45	0	100	150	10	-1.57
46	0	100	140	10	-1.57
47	0	100	130	9.51	-1.57
48	0	100	121	9.43	-1.57
49	0	100	111	10	-1.57
50	0	100	101	10	-1.57
51	0	100	91	9.56	-1.57
52	0	100	82	9.6	-1.57
53	0	100	72	10	-1.57
54	0	100	62	10	-1.57
55	0	100	52	10	-1.57
56	0	100	50	10	-1.57
57	0	90	50	10	3.14
58	0	80	50	10	3.14
59	0	70	50	10	3.14
60	0	60	50	10	3.14
61	0	50	50	10	3.14
62	0	50	50	10	1.57
63	0	50	60	10	1.57
64	0	50	70	10	1.57
65	0	50	80	10	1.57
66	0	50	90	10	1.57
67	0	50	98	8.74	1.57
68	0	50	107	8.75	1.57
69	0	50	116	8.77	1.57
70	0	50	123	7.53	1.57
71	0	50	132	8.63	1.57
72	0	50	142	10	1.57
73	0	50	150	8.28	1.57
74	0	50	157	6.35	1.57
75	0	50	162	5.51	1.57
76	0	50	167	4.51	1.57
77	0	50	171	4.75	1.57
78	0	50	174	3.06	1.57
79	0	50	179	4.72	1.57
80	0	50	182	2.85	1.57
81	0	50	186	4.13	1.57
82	0	50	188	2.32	1.57
83	0	50	190	1.34	1.57
84	0	50	192	2.47	1.57
85	0	50	194	1.45	1.57
86	0	50	195	1.79	1.57
87	0	50	197	1.6	1.57
88	0	50	200	2.5	1.57
89	0	50	203	2.96	1.57
90	0	50	206	3.8	1.57
91	0	50	210	3.39	1.57
92	0	50	212	2.19	1.57
93	0	50	212	0.38	1.57
94	0	50	212	0	1.57
95	0	50	213	1.15	1.57
96	0	50	214	0.46	1.57
97	0	50	216	1.68	1.57
98	0	50	219	3.28	1.57
99	0	50	223	4.46	1.57
100	0	50	227	4.05	1.57
