models=FreeWay	maxpausetime=15	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=500	lanenum=1	width=500	dir2lanespace=0	pointsX=50.0,50.0,301.0,388.0,	dir12space=0	pointsY=50.0,340.0,340.0,435.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=testtm	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=1	maxsimulationtime=100
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	212	340	0.11	3.14
2	0	211	340	0.73	3.14
3	0	211	340	0	3.14
4	0	210	340	0.53	3.14
5	0	210	340	0	3.14
6	0	210	340	0	3.14
7	0	210	340	0.09	3.14
8	0	208	340	1.85	3.14
9	0	206	340	2.53	3.14
10	0	205	340	0.6	3.14
11	0	205	340	0.01	3.14
12	0	205	340	0.05	3.14
13	0	204	340	0.87	3.14
14	0	203	340	1.62	3.14
15	0	203	340	0	3.14
16	0	203	340	0	3.14
17	0	203	340	0	3.14
18	0	201	340	1.31	3.14
19	0	201	340	0.17	3.14
20	0	200	340	0.93	3.14
21	0	198	340	2.71	3.14
22	0	193	340	4.26	3.14
23	0	188	340	5.09	3.14
24	0	182	340	5.75	3.14
25	0	178	340	4.87	3.14
26	0	173	340	4.59	3.14
27	0	170	340	2.71	3.14
28	0	167	340	3.03	3.14
29	0	165	340	2.01	3.14
30	0	165	340	0.56	3.14
31	0	162	340	2.34	3.14
32	0	159	340	3.27	3.14
33	0	156	340	3.35	3.14
34	0	151	340	4.67	3.14
35	0	148	340	3.05	3.14
36	0	146	340	2.28	3.14
37	0	144	340	2.09	3.14
38	0	140	340	3.67	3.14
39	0	136	340	4.22	3.14
40	0	130	340	5.64	3.14
41	0	126	340	4.52	3.14
42	0	120	340	5.93	3.14
43	0	113	340	6.53	3.14
44	0	106	340	7.3	3.14
45	0	98	340	7.72	3.14
46	0	90	340	8.44	3.14
47	0	83	340	7.15	3.14
48	0	75	340	7.14	3.14
49	0	67	340	8.25	3.14
50	0	58	340	8.91	3.14
51	0	50	340	8.67	3.14
52	0	50	340	10	3.14
53	0	50	330	10	-1.57
54	0	50	320	9.64	-1.57
55	0	50	310	10	-1.57
56	0	50	300	10	-1.57
57	0	50	290	10	-1.57
58	0	50	280	10	-1.57
59	0	50	270	10	-1.57
60	0	50	260	9.96	-1.57
61	0	50	250	9.7	-1.57
62	0	50	240	10	-1.57
63	0	50	230	10	-1.57
64	0	50	220	10	-1.57
65	0	50	210	10	-1.57
66	0	50	200	10	-1.57
67	0	50	190	10	-1.57
68	0	50	180	10	-1.57
69	0	50	171	9.31	-1.57
70	0	50	163	7.99	-1.57
71	0	50	154	8.61	-1.57
72	0	50	145	9.39	-1.57
73	0	50	137	7.92	-1.57
74	0	50	128	9.19	-1.57
75	0	50	118	9.72	-1.57
76	0	50	110	7.97	-1.57
77	0	50	103	6.91	-1.57
78	0	50	96	7	-1.57
79	0	50	90	6.69	-1.57
80	0	50	83	6.77	-1.57
81	0	50	74	8.31	-1.57
82	0	50	66	8.67	-1.57
83	0	50	56	9.89	-1.57
84	0	50	50	10	-1.57
85	0	50	50	9.11	0
86	0	50	50	9.13	1.57
87	0	50	57	7.43	1.57
88	0	50	64	7.45	1.57
89	0	50	70	5.51	1.57
90	0	50	74	4.44	1.57
91	0	50	79	4.83	1.57
92	0	50	83	3.61	1.57
93	0	50	87	4.05	1.57
94	0	50	92	4.91	1.57
95	0	50	96	4.62	1.57
96	0	50	101	4.84	1.57
97	0	50	106	4.94	1.57
98	0	50	109	3.04	1.57
99	0	50	111	1.5	1.57
100	0	50	113	2.29	1.57
