models=ThreeDizer	selected=Random Walk	walkingtime=20	maxpausetime=10	minspeed=5	selected=squarereflect	borderheight=50	borderwidth=50	height=500	width=500	maxspeed=10	defaultfilter=edu.sharif.ce.dml.common.data.configfilter.ConfigFileFilter	isinput=false	fileaddress=output\ThreeDMap.xml	multiple=false	maps=ThreeDMap	height=500	gridsize=50.0	width=500	variablenumber=true	z=100.0	y=123.0	x=100.0	z=100.0	y=150.0	x=50.0	z=100.0	y=100.0	x=100.0	z=100.0	y=100.0	x=50.0	cacheprecision=1.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	PositionZ
1	0	266	141	9.14	5.14	0
1	1	12	327	8.56	4.93	0
1	2	361	242	9.65	2	0
1	3	356	295	5.45	4.58	0
1	4	352	74	5.24	4.26	0
1	5	205	211	8.29	5.06	0
1	6	44	10	5.56	5.14	0
1	7	101	366	9.97	2.76	0
1	8	258	390	7.79	2.04	0
1	9	70	213	8.55	3.42	0
2	0	270	133	9.14	5.14	0
2	1	13	318	8.56	4.93	0
2	2	357	250	9.65	2	0
2	3	356	289	5.45	4.58	0
2	4	350	69	5.24	4.26	0
2	5	208	204	8.29	5.06	0
2	6	46	5	5.56	5.14	0
2	7	92	370	9.97	2.76	0
2	8	254	397	7.79	2.04	0
2	9	62	211	8.55	3.42	0
3	0	274	124	9.14	5.14	0
3	1	15	310	8.56	4.93	0
3	2	353	259	9.65	2	0
3	3	355	284	5.45	4.58	0
3	4	348	64	5.24	4.26	0
3	5	210	196	8.29	5.06	0
3	6	48	0	5.56	5.14	0
3	7	83	374	9.97	2.76	0
3	8	250	393	7.79	4.24	0
3	9	54	209	8.55	3.42	0
4	0	278	116	9.14	5.14	0
4	1	17	302	8.56	4.93	0
4	2	349	268	9.65	2	0
4	3	354	278	5.45	4.58	0
4	4	346	59	5.24	4.26	0
4	5	213	188	8.29	5.06	0
4	6	51	5	5.56	1.15	0
4	7	73	377	9.97	2.76	0
4	8	246	386	7.79	4.24	0
4	9	46	206	8.55	3.42	0
5	0	281	108	9.14	5.14	0
5	1	19	293	8.56	4.93	0
5	2	345	277	9.65	2	0
5	3	354	273	5.45	4.58	0
5	4	343	55	5.24	4.26	0
5	5	216	180	8.29	5.06	0
5	6	53	10	5.56	1.15	0
5	7	64	381	9.97	2.76	0
5	8	242	379	7.79	4.24	0
5	9	37	204	8.55	3.42	0
6	0	285	99	9.14	5.14	0
6	1	21	285	8.56	4.93	0
6	2	341	285	9.65	2	0
6	3	353	268	5.45	4.58	0
6	4	341	50	5.24	4.26	0
6	5	219	172	8.29	5.06	0
6	6	55	15	5.56	1.15	0
6	7	55	385	9.97	2.76	0
6	8	239	372	7.79	4.24	0
6	9	29	201	8.55	3.42	0
7	0	289	91	9.14	5.14	0
7	1	23	277	8.56	4.93	0
7	2	337	294	9.65	2	0
7	3	352	262	5.45	4.58	0
7	4	339	45	5.24	4.26	0
7	5	222	165	8.29	5.06	0
7	6	58	20	5.56	1.15	0
7	7	46	388	9.97	2.76	0
7	8	235	365	7.79	4.24	0
7	9	21	199	8.55	3.42	0
8	0	293	83	9.14	5.14	0
8	1	25	268	8.56	4.93	0
8	2	333	303	9.65	2	0
8	3	351	257	5.45	4.58	0
